,日期,八大行庫買賣超金額,台指期
0,2020/12/28,-3907585.745,14437
1,2020/12/25,-1830827.402,14305
2,2020/12/24,159270.865,14242
3,2020/12/23,-413590.876,14113
4,2020/12/22,1599702.112,14046
5,2020/12/21,-2708015.498,14312
6,2020/12/18,579259.437,14137
7,2020/12/17,350373.495,14186
8,2020/12/16,-3824786.149,14323
9,2020/12/15,59717.734,14085
10,2020/12/14,1611556.98,14200
11,2020/12/11,4232770.835,14236
12,2020/12/10,-18807.592,14241
13,2020/12/09,-269216.687,14397
14,2020/12/08,-1425746.379,14342
15,2020/12/07,1719544.621,14225
16,2020/12/04,-3188781.092,14138
17,2020/12/03,1512585.917,13986
18,2020/12/02,-273191.406,13956
19,2020/12/01,-1076790.681,13877
20,2020/11/30,5287803.627,13722
21,2020/11/27,1014906.3,13878
22,2020/11/26,-1174669.317,13841
23,2020/11/25,2464214.117,13709
24,2020/11/24,272714.43,13804
25,2020/11/23,-2688534.614,13875
26,2020/11/20,1268781.644,13736
27,2020/11/19,1283307.57,13740
28,2020/11/18,-4423031.31,13756
29,2020/11/17,-88244.232,13625
30,2020/11/16,-3728161.776,13581
31,2020/11/13,-1629166.805,13284
32,2020/11/12,-801916.794,13230
33,2020/11/11,-4560540.387,13263
34,2020/11/10,1856377.554,13071
35,2020/11/09,-5550361.019,13121
36,2020/11/06,-1337208.312,12936
37,2020/11/05,-585744.866,12890
38,2020/11/04,-216452.053,12865
39,2020/11/03,-342444.603,12685
40,2020/11/02,834885.773,12515
41,2020/10/30,4124704.279,12414
42,2020/10/29,3697514.708,12602
43,2020/10/28,2561514.801,12739
44,2020/10/27,17313.923,12807
45,2020/10/26,240549.838,12858
46,2020/10/23,334525.141,12839
47,2020/10/22,-1441792.763,12837
48,2020/10/21,858601.006,12860
49,2020/10/20,837081.994,12856
50,2020/10/19,-2007021.263,12896
51,2020/10/16,227643.223,12745
52,2020/10/15,1849282.916,12840
53,2020/10/14,1769445.343,12888
54,2020/10/13,-1273486.658,12919
55,2020/10/12,-2062557.925,12920
56,2020/10/08,-3316914.585,12873
57,2020/10/07,-1409561.483,12755
58,2020/10/06,-2679960.441,12675
59,2020/10/05,-160556.393,12529
60,2020/09/30,-1682481.686,12472
61,2020/09/29,-865854.691,12421
62,2020/09/28,-1915113.214,12417
63,2020/09/25,343948.251,12195
64,2020/09/24,10175019.13,12175
65,2020/09/23,3827549.375,12528
66,2020/09/22,2938680.317,12507
67,2020/09/21,2420707.19,12659
68,2020/09/18,-764056.81,12835
69,2020/09/17,2261584.442,12816
70,2020/09/16,-3369236.342,12968
71,2020/09/15,-1305240.976,12840
72,2020/09/14,-2578515.9,12785
73,2020/09/11,-140372.52,12661
74,2020/09/10,-905419.372,12699
75,2020/09/09,1014195.098,12598
76,2020/09/08,-57538.276,12667
77,2020/09/07,1541605.005,12582
78,2020/09/04,3448348.468,12606
79,2020/09/03,-1098089.571,12732
80,2020/09/02,731267.307,12691
81,2020/09/01,31937.855,12691
82,2020/08/31,2683483.86,12591
83,2020/08/28,687841.176,12691
84,2020/08/27,1296827.189,12760
85,2020/08/26,-313235.788,12792
86,2020/08/25,-1729316.777,12737
87,2020/08/24,-65244.557,12604
88,2020/08/21,-1650151.816,12543
89,2020/08/20,5686653.421,12305
